Date/Time,PERIMETER_TOP_ZN_3:Zone Outdoor Air Drybulb Temperature [C](Each Call),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Each Call),CUSTOM_ZONE_CLGT_SETPOINT:Schedule Value [](Each Call),PERIMETER_TOP_ZN_3 VAV BOX OUTLET NODE:System Node Temperature [C](Each Call),PERIMETER_TOP_ZN_3 VAV BOX OUTLET NODE:System Node Mass Flow Rate [kg/s](Each Call) 
 01/21  03:41:15,,,,13.7188183577541,0.0 
 01/21  03:45:00,8.64932348607993,14.6739379492505,30.,13.5709427016379,0.0 
 01/21  03:50:00,,,,35.8656990217932,0.241964152852291 
 01/21  03:55:00,,,,16.9528750396967,0.241964152852291 
 01/21  04:00:00,8.64932348607993,15.5855363141625,30.,25.0165962056299,0.241964152852291 
 01/21  04:15:00,8.64932348607993,15.5999982997623,30.,22.4610047639912,0.241964152852291 
 01/21  04:18:45,,,,14.0198315438884,0.0 
 01/21  04:22:30,,,,13.8773992583155,0.0 
 01/21  04:26:15,,,,13.7169961931081,0.0 
 01/21  04:30:00,8.64932348607993,14.6719470269825,30.,13.5690606314737,0.0 
 01/21  04:35:00,,,,35.8974626347189,0.241964152852291 
 01/21  04:40:00,,,,16.9441630038161,0.241964152852291 
 01/21  04:45:00,8.64932348607993,15.5855005852076,30.,25.0247779416377,0.241964152852291 
 01/21  05:00:00,8.64932348607993,15.5999975199615,30.,22.4796252941878,0.241964152852291 
 01/21  05:03:45,,,,14.0182944043202,0.0 
 01/21  05:07:30,,,,13.8757732383403,0.0 
 01/21  05:11:15,,,,13.7153034128749,0.0 
 01/21  05:15:00,8.64932348607993,14.6701000365762,30.,13.5673119198154,0.0 
 01/21  05:20:00,,,,35.9268061839212,0.241964152852291 
 01/21  05:25:00,,,,16.9359618820004,0.241964152852291 
 01/21  05:30:00,8.64932348607993,15.5854674533317,30.,25.032245366538,0.241964152852291 
 01/21  05:45:00,8.64932348607993,15.5999968876561,30.,22.4969240442929,0.241964152852291 
 01/21  05:48:45,,,,14.0168632092037,0.0 
 01/21  05:52:30,,,,13.8742592669663,0.0 
 01/21  05:56:15,,,,13.713726962384,0.0 
 01/21  06:00:00,8.64932348607993,14.668384858826,30.,13.5656831856838,0.0 
 01/21  06:05:00,,,,35.1802095178635,0.241964152852291 
 01/21  06:10:00,,,,16.1602317618048,0.241964152852291 
 01/21  06:15:00,8.64932348607993,15.5853601566042,16.,24.2628831279817,0.241964152852291 
 01/21  06:22:30,,,,27.0707958845898,0.241964152852291 
 01/21  06:30:00,8.64932348607993,15.5996020649439,16.,23.4634936545384,0.241964152852291 
 01/21  06:45:00,8.64932348607993,15.6000194377997,16.,26.2267871043776,0.241964152852291 
 01/21  07:00:00,8.64932348607993,15.6000323728978,16.,25.1080699018093,0.241964152852291 
 01/21  07:15:00,8.64932348607993,15.6000455821166,16.,24.9422124795634,0.241964152852291 
 01/21  07:30:00,8.64932348607993,15.6000541136354,16.,24.8042740251013,0.241964152852291 
 01/21  07:45:00,8.64932348607993,15.600066362108,16.,24.713095782937,0.241964152852291 
 01/21  08:00:00,8.64932348607993,15.600079516678,16.,24.6419830780257,0.241964152852291 
 01/21  08:15:00,8.64932348607993,15.6000901400067,16.,24.5837323443239,0.241964152852291 
 01/21  08:30:00,8.64932348607993,15.600097374989,16.,24.5155260164232,0.241964152852291 
 01/21  08:45:00,8.64932348607993,15.6001094691459,16.,24.4756235964231,0.241964152852291 
 01/21  09:00:00,8.64932348607993,15.6001228753333,16.,24.4405041827158,0.241964152852291 
 01/21  09:15:00,8.64932348607993,15.6001337650307,16.,24.4095440009581,0.241964152852291 
 01/21  09:30:00,8.64932348607993,15.6001409719314,16.,24.349640115111,0.241964152852291 
 01/21  09:45:00,8.64932348607993,15.6001565785677,16.,24.3248303752922,0.241964152852291 
 01/21  10:00:00,8.64932348607993,15.6001747572917,16.,24.3021589504921,0.241964152852291 
 01/21  10:15:00,8.64932348607993,15.6001895344534,16.,24.2813061699688,0.241964152852291 
 01/21  10:30:00,8.64932348607993,15.600199786286,16.,24.2727491470558,0.241964152852291 
 01/21  10:45:00,8.64932348607993,15.6002032178678,16.,24.2546891359037,0.241964152852291 
 01/21  11:00:00,8.64932348607993,15.6002038580501,16.,24.2377528726018,0.241964152852291 
 01/21  11:15:00,8.64932348607993,15.6002047324588,16.,24.2217625798716,0.241964152852291 
 01/21  11:30:00,8.64932348607993,15.6002061325293,16.,24.1850425226257,0.241964152852291 
 01/21  11:45:00,8.64932348607993,15.6002150525191,16.,24.1706157420428,0.241964152852291 
 01/21  12:00:00,8.64932348607993,15.6002262500087,16.,24.1567715470982,0.241964152852291 
 01/21  12:15:00,8.64932348607993,15.6002352131267,16.,24.1434977960973,0.241964152852291 
 01/21  12:30:00,8.64932348607993,15.6002413841293,16.,24.1469112615915,0.241964152852291 
 01/21  12:45:00,8.64932348607993,15.6002401387935,16.,24.1346306117493,0.241964152852291 
 01/21  13:00:00,8.64932348607993,15.6002361914928,16.,24.1228444378496,0.241964152852291 
 01/21  13:15:00,8.64932348607993,15.6002333406244,16.,24.1124204950189,0.241964152852291 
 01/21  13:30:00,8.64932348607993,15.6002324352804,16.,24.1075688933986,0.241964152852291 
 01/21  13:45:00,8.64932348607993,15.6002308019807,16.,24.098489805087,0.241964152852291 
