Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/21  08:00:00,742756075.015115,742756075.015115,4597200.,125116957.414271,224813060.552967 
 07/21  09:00:00,729171852.397607,729171852.397607,4597200.,124547812.705664,224813060.552967 
 07/21  10:00:00,739095470.736699,739095470.736699,4597200.,124547812.705664,224813060.552967 
 07/21  11:00:00,749919634.829599,749919634.8296,4597200.,124547812.705664,224813060.552967 
 07/21  12:00:00,752126344.990188,752126344.990188,17570787.4859258,124547812.705664,224813060.552967 
 07/21  13:00:00,754401229.336797,754401229.336797,13484681.4051788,124547812.705664,224813060.552967 
 07/21  14:00:00,772118985.809079,772118985.809078,17871033.327161,124547812.705664,224813060.552967 
 07/21  15:00:00,800984849.257715,800984849.257715,13121400.1941214,124547812.705664,224813060.552967 
 07/21  16:00:00,801468730.579469,801468730.579469,12383049.5508416,124547812.705664,224813060.552967 
 07/21  17:00:00,794079923.979234,794079923.979234,13840825.8690127,124547812.705664,224813060.552967 
 07/21  18:00:00,752359936.303691,752359936.303691,8735748.74735925,125492201.447479,224813060.552967 
 07/21  19:00:00,718184451.936121,718184451.936121,4597200.,140309001.304991,224813060.552967 
 07/21  20:00:00,726833850.284296,726833850.284296,8661716.78591045,158309273.450227,224813060.552967 
 07/21  21:00:00,709409521.977758,709409521.977758,4597200.,158309273.450227,224813060.552967 
 07/21  22:00:00,695998018.135909,695998018.135909,4597200.,158309273.450227,224813060.552967 
 07/21  23:00:00,514326672.455378,514326672.455378,4597200.,158309273.450227,224813060.552967 
 07/21  24:00:00,516656064.186937,516656064.186937,4597200.,158309273.450227,224813060.552967 
 06/20  01:00:00,61035577.042117,61035577.0421169,4597200.,7915463.67251137,33399901.5013581 
 06/20  02:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 06/20  03:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 06/20  04:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 06/20  05:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 06/20  06:00:00,63699067.1265476,63699067.1265476,4597200.,6713244.11138264,41385398.9087341 
 06/20  07:00:00,89358818.1515292,89358818.1515292,4597200.,5777719.36105109,41385398.9087341 
 06/20  08:00:00,142728008.062124,142728008.062124,4597200.,5453896.20546521,41385398.9087341 
 06/20  09:00:00,175082873.817219,175082873.817219,4597200.,5372128.7777835,41385398.9087341 
 06/20  10:00:00,139913682.386892,139913682.386892,4597200.,5370038.36600498,41385398.9087341 
 06/20  11:00:00,168553616.038593,168553616.038593,4597200.,5370038.36600498,41385398.9087341 
 06/20  12:00:00,205268711.65777,205268711.65777,4597200.,5370038.36600498,41385398.9087341 
 06/20  13:00:00,153277433.406043,153277433.406043,4597200.,5370038.36600498,41385398.9087341 
 06/20  14:00:00,162791648.941429,162791648.941429,4597200.,5370038.36600498,41385398.9087341 
 06/20  15:00:00,166463649.528832,166463649.528832,4597200.,5370038.36600498,41385398.9087341 
 06/20  16:00:00,171243777.398895,171243777.398895,4597200.,5370038.36600498,41385398.9087341 
 06/20  17:00:00,134243511.198631,134243511.198631,4597200.,5405031.473076,41385398.9087341 
 06/20  18:00:00,168412741.537222,168412741.537222,4597200.,6523459.41668429,33399901.5013581 
 06/20  19:00:00,73250959.6142803,73250959.6142803,4597200.,7587251.21305527,33399901.5013581 
 06/20  20:00:00,153656268.423609,153656268.423609,4597200.,7915463.67251137,33399901.5013581 
 06/20  21:00:00,124711172.224315,124711172.224315,4597200.,7915463.67251137,33399901.5013581 
 06/20  22:00:00,107614132.510794,107614132.510794,4597200.,7915463.67251137,33399901.5013581 
 06/20  23:00:00,108906297.092917,108906297.092917,4597200.,7915463.67251137,33399901.5013581 
 06/20  24:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 06/21  01:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 06/21  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 06/21  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 06/21  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 06/21  05:00:00,108364990.672622,108364990.672622,4597200.,15830927.3450227,44533202.0018108 
 06/21  06:00:00,248852017.638285,248852017.638285,4597200.,13460971.0402478,55180531.8783121 
 06/21  07:00:00,289457267.126184,289457267.126184,4597200.,34963392.6213603,95796493.4167736 
 06/21  08:00:00,493770330.189992,493770330.189992,4597200.,98129817.9784738,204227663.759169 
 06/21  09:00:00,486435698.160411,486435698.160411,4597200.,96660690.5880898,174055806.616312 
 06/21  10:00:00,492210303.179843,492210303.179843,4597200.,96660690.5880898,167093070.352576 
 06/21  11:00:00,516009791.029769,516009791.029769,4597200.,96660690.5880898,174055806.616312 
