Time,TSupCor.T,flo.temAirPer5.T,VSupCor_flow.V_flow
1120,293.15,292.971,-2.55606e-012
1130,293.15,292.971,0
1130,293.15,292.971,0
1140,293.15,292.97,-6.39015e-012
1140,293.15,292.97,-6.39015e-012
1150,293.15,292.97,-1.27803e-012
1150,293.15,292.97,-1.27803e-012
1160,293.15,292.97,-1.27803e-012
1160,293.15,292.97,-1.27803e-012
1170,293.15,292.97,1.27803e-012
1170,293.15,292.97,1.27803e-012
1180,293.15,292.969,1.27803e-012
1180,293.15,292.969,1.27803e-012
1190,293.15,292.969,0
1190,293.15,292.969,0
1200,293.15,292.969,-1.27803e-012
1200,293.15,292.969,-1.27803e-012
1210,293.15,292.969,-6.39015e-012
1210,293.15,292.969,-6.39015e-012
1220,293.15,292.969,0
1220,293.15,292.969,0
1230,293.15,292.968,0
1230,293.15,292.968,0
1240,293.15,292.968,-1.27803e-012
1240,293.15,292.968,-1.27803e-012
1250,293.15,292.968,1.27803e-012
1250,293.15,292.968,1.27803e-012
1260,293.15,292.968,0
1260,293.15,292.968,0
1270,293.15,292.968,0
1270,293.15,292.968,0
1280,293.15,292.968,-1.27803e-012
1280,293.15,292.968,-1.27803e-012
1290,293.15,292.968,0
1290,293.15,292.968,0
1300,293.15,292.967,0
1300,293.15,292.967,0
1310,293.15,292.967,-1.27803e-012
1310,293.15,292.967,-1.27803e-012
1320,293.15,292.967,7.66818e-012
1320,293.15,292.967,7.66818e-012
1330,293.15,292.967,2.55606e-012
1330,293.15,292.967,2.55606e-012
1340,293.15,292.967,-1.27803e-012
1340,293.15,292.967,-1.27803e-012
1350,293.15,292.967,2.55606e-012
1350,293.15,292.967,2.55606e-012
1360,293.15,292.967,-6.39015e-012
1360,293.15,292.967,-6.39015e-012
1370,293.15,292.967,-1.27803e-012
1370,293.15,292.967,-1.27803e-012
1380,293.15,292.967,1.27803e-012
1380,293.15,292.967,1.27803e-012
1390,293.15,292.967,0
1390,293.15,292.967,0
1400,293.15,292.967,1.27803e-012
1400,293.15,292.967,1.27803e-012
1410,293.15,292.967,0
1410,293.15,292.967,0
1420,293.15,292.967,0
1420,293.15,292.967,0
1430,293.15,292.967,1.27803e-012
1430,293.15,292.967,1.27803e-012
1440,293.15,292.967,-1.27803e-012
1440,293.15,292.967,-1.27803e-012
1450,293.15,292.967,-7.66818e-012
1450,293.15,292.967,-7.66818e-012
1460,293.15,292.967,1.27803e-012
1460,293.15,292.967,1.27803e-012
1470,293.15,292.967,-1.27803e-012
1470,293.15,292.967,-1.27803e-012
1480,293.15,292.967,0
1480,293.15,292.967,0
1490,293.15,292.967,0
1490,293.15,292.967,0
1500,293.15,292.967,-1.27803e-012
1500,293.15,292.967,-1.27803e-012
1510,293.15,292.967,1.27803e-012
1510,293.15,292.967,1.27803e-012
1520,293.15,292.967,1.27803e-012
1520,293.15,292.967,1.27803e-012
1530,293.15,292.967,0
1530,293.15,292.967,0
1540,293.15,292.967,1.27803e-012
1540,293.15,292.967,1.27803e-012
1550,293.15,292.967,2.55606e-012
1550,293.15,292.967,2.55606e-012
1560,293.15,292.967,1.27803e-012
1560,293.15,292.967,1.27803e-012
1570,293.15,292.967,-1.27803e-012
1570,293.15,292.967,-1.27803e-012
1580,293.15,292.967,-3.83409e-012
1580,293.15,292.967,-3.83409e-012
1590,293.15,292.967,0
1590,293.15,292.967,0
1600,293.15,292.967,1.27803e-012
1600,293.15,292.967,1.27803e-012
1610,293.15,292.967,0
1610,293.15,292.967,0
1620,293.15,292.967,0
1620,293.15,292.967,0
1630,293.15,292.968,1.27803e-012
1630,293.15,292.968,1.27803e-012
1640,293.15,292.968,0
1640,293.15,292.968,0
1650,293.15,292.968,0
1650,293.15,292.968,0
1660,293.15,292.968,-2.55606e-012
1660,293.15,292.968,-2.55606e-012
1670,293.15,292.968,1.27803e-012
1670,293.15,292.968,1.27803e-012
1680,293.15,292.968,0
1680,293.15,292.968,0
1690,293.15,292.968,-1.27803e-012
1690,293.15,292.968,-1.27803e-012
1700,293.15,292.968,2.55606e-012
1700,293.15,292.968,2.55606e-012
1710,293.15,292.968,8.94621e-012
1710,293.15,292.968,8.94621e-012
1720,293.15,292.968,0
1720,293.15,292.968,0
1730,293.15,292.968,3.83409e-012
1730,293.15,292.968,3.83409e-012
1740,293.15,292.968,-1.15023e-011
1740,293.15,292.968,-1.15023e-011
1750,293.15,292.969,1.27803e-012
1750,293.15,292.969,1.27803e-012
1760,293.15,292.969,-1.27803e-012
1760,293.15,292.969,-1.27803e-012
1770,293.15,292.969,0
1770,293.15,292.969,0
1780,293.15,292.969,-2.55606e-012
1780,293.15,292.969,-2.55606e-012
1790,293.15,292.969,0
1790,293.15,292.969,0
1800,293.15,292.969,0
1800,293.15,292.969,0
1810,293.15,292.969,-1.27803e-012
1810,293.15,292.969,-1.27803e-012
1820,293.15,292.969,0
1820,293.15,292.969,0
1830,293.15,292.969,-1.27803e-012
1830,293.15,292.969,-1.27803e-012
1840,293.15,292.969,0
1840,293.15,292.969,0
1850,293.15,292.97,0
1850,293.15,292.97,0
1860,293.15,292.97,-2.55606e-012
1860,293.15,292.97,-2.55606e-012
1870,293.15,292.97,0
1870,293.15,292.97,0
1880,293.15,292.97,1.27803e-012
1880,293.15,292.97,1.27803e-012
1890,293.15,292.97,1.27803e-012
1890,293.15,292.97,1.27803e-012
1900,293.15,292.97,0
1900,293.15,292.97,0
1910,293.15,292.97,2.55606e-012
1910,293.15,292.97,2.55606e-012
1920,293.15,292.97,1.27803e-012
1920,293.15,292.97,1.27803e-012
1930,293.15,292.97,0
1930,293.15,292.97,0
1940,293.15,292.97,1.27803e-012
1940,293.15,292.97,1.27803e-012
1950,293.15,292.971,0
1950,293.15,292.971,0
1960,293.15,292.971,0
1960,293.15,292.971,0
1970,293.15,292.971,2.55606e-012
1970,293.15,292.971,2.55606e-012
1980,293.15,292.971,1.27803e-012
1980,293.15,292.971,1.27803e-012
1990,293.15,292.971,1.27803e-012
1990,293.15,292.971,1.27803e-012
2000,293.15,292.971,1.53364e-011
2000,293.15,292.971,1.53364e-011
2010,293.15,292.971,0
2010,293.15,292.971,0
2020,293.15,292.971,0
2020,293.15,292.971,0
2030,293.15,292.971,0
2030,293.15,292.971,0
2040,293.15,292.972,1.27803e-012
2040,293.15,292.972,1.27803e-012
2050,293.15,292.972,0
2050,293.15,292.972,0
2060,293.15,292.972,0
2060,293.15,292.972,0
2070,293.15,292.972,1.27803e-012
2070,293.15,292.972,1.27803e-012
2080,293.15,292.972,1.27803e-012
2080,293.15,292.972,1.27803e-012
2090,293.15,292.972,1.27803e-012
2090,293.15,292.972,1.27803e-012
2100,293.15,292.972,0
2100,293.15,292.972,0
2110,293.15,292.972,1.27803e-012
2110,293.15,292.972,1.27803e-012
2120,293.15,292.972,0
2120,293.15,292.972,0
2130,293.15,292.973,-1.27803e-012
2130,293.15,292.973,-1.27803e-012
2140,293.15,292.973,1.27803e-012
2140,293.15,292.973,1.27803e-012
2150,293.15,292.973,0
2150,293.15,292.973,0
2160,293.15,292.973,-1.27803e-012
2160,293.15,292.973,-1.27803e-012
2170,293.15,292.973,2.55606e-012
2170,293.15,292.973,2.55606e-012
2180,293.15,292.973,0
2180,293.15,292.973,0
2190,293.15,292.973,1.27803e-012
2190,293.15,292.973,1.27803e-012
2200,293.15,292.973,-1.27803e-012
2200,293.15,292.973,-1.27803e-012
2210,293.15,292.973,1.27803e-012
2210,293.15,292.973,1.27803e-012
2220,293.15,292.973,1.27803e-012
2220,293.15,292.973,1.27803e-012
2230,293.15,292.973,-3.83409e-012
2230,293.15,292.973,-3.83409e-012
2240,293.15,292.974,1.27803e-012
2240,293.15,292.974,1.27803e-012
2250,293.15,292.974,1.27803e-012
2250,293.15,292.974,1.27803e-012
2260,293.15,292.974,0
2260,293.15,292.974,0
2270,293.15,292.974,0
2270,293.15,292.974,0
2280,293.15,292.974,1.27803e-012
2280,293.15,292.974,1.27803e-012
2290,293.15,292.974,-1.27803e-012
2290,293.15,292.974,-1.27803e-012
2300,293.15,292.974,-1.27803e-012
2300,293.15,292.974,-1.27803e-012
2310,293.15,292.974,1.27803e-012
2310,293.15,292.974,1.27803e-012
2320,293.15,292.974,0
2320,293.15,292.974,0
2330,293.15,292.974,0
2330,293.15,292.974,0
2340,293.15,292.974,0
2340,293.15,292.974,0
2350,293.15,292.975,-1.27803e-012
2350,293.15,292.975,-1.27803e-012
2360,293.15,292.975,-2.55606e-012
2360,293.15,292.975,-2.55606e-012
2370,293.15,292.975,3.83409e-012
2370,293.15,292.975,3.83409e-012
2380,293.15,292.975,-1.02242e-011
2380,293.15,292.975,-1.02242e-011
2390,293.15,292.975,-1.27803e-012
2390,293.15,292.975,-1.27803e-012
2400,293.15,292.975,1.27803e-012
2400,293.15,292.975,1.27803e-012
2410,293.15,292.975,-1.27803e-012
2410,293.15,292.975,-1.27803e-012
2420,293.15,292.975,0
2420,293.15,292.975,0
2430,293.15,292.975,-1.27803e-012
2430,293.15,292.975,-1.27803e-012
2440,293.15,292.975,0
2440,293.15,292.975,0
2450,293.15,292.975,1.27803e-012
2450,293.15,292.975,1.27803e-012
2460,293.15,292.975,-1.27803e-012
2460,293.15,292.975,-1.27803e-012
2470,293.15,292.975,2.55606e-012
2470,293.15,292.975,2.55606e-012
2480,293.15,292.976,1.27803e-012
2480,293.15,292.976,1.27803e-012
2490,293.15,292.976,1.27803e-012
2490,293.15,292.976,1.27803e-012
2500,293.15,292.976,-1.27803e-012
2500,293.15,292.976,-1.27803e-012
2510,293.15,292.976,0
2510,293.15,292.976,0
2520,293.15,292.976,0
2520,293.15,292.976,0
2530,293.15,292.976,-1.27803e-012
2530,293.15,292.976,-1.27803e-012
2540,293.15,292.976,1.27803e-012
2540,293.15,292.976,1.27803e-012
2550,293.15,292.976,0
2550,293.15,292.976,0
2560,293.15,292.976,1.27803e-012
2560,293.15,292.976,1.27803e-012
2570,293.15,292.976,0
2570,293.15,292.976,0
2580,293.15,292.976,0
2580,293.15,292.976,0
2590,293.15,292.976,0
2590,293.15,292.976,0
2600,293.15,292.976,0
2600,293.15,292.976,0
2610,293.15,292.976,-1.27803e-012
2610,293.15,292.976,-1.27803e-012
2620,293.15,292.976,-1.27803e-012
2620,293.15,292.976,-1.27803e-012
2630,293.15,292.977,0
2630,293.15,292.977,0
2640,293.15,292.977,2.55606e-012
2640,293.15,292.977,2.55606e-012
2650,293.15,292.977,-1.27803e-012
2650,293.15,292.977,-1.27803e-012
2660,293.15,292.977,-1.27803e-012
2660,293.15,292.977,-1.27803e-012
2670,293.15,292.977,0
2670,293.15,292.977,0
2680,293.15,292.977,-1.27803e-012
2680,293.15,292.977,-1.27803e-012
2690,293.15,292.977,0
2690,293.15,292.977,0
2700,293.15,292.977,2.55606e-012
2700,293.15,292.977,2.55606e-012
2710,293.15,292.977,-1.02242e-011
2710,293.15,292.977,-1.02242e-011
2720,293.15,292.977,0
2720,293.15,292.977,0
2730,293.15,292.977,0
2730,293.15,292.977,0
2740,293.15,292.977,0
2740,293.15,292.977,0
2750,293.15,292.977,-1.27803e-012
2750,293.15,292.977,-1.27803e-012
2760,293.15,292.977,-1.27803e-012
2760,293.15,292.977,-1.27803e-012
2770,293.15,292.977,0
2770,293.15,292.977,0
2780,293.15,292.977,0
2780,293.15,292.977,0
2790,293.15,292.977,0
2790,293.15,292.977,0
2800,293.15,292.977,-2.55606e-012
2800,293.15,292.977,-2.55606e-012
2810,293.15,292.977,1.27803e-012
