Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 03/17  11:00:00,284099748.187472,284099748.187472,25883146.9203085,93124323.8539151,174055806.616312 
 03/17  12:00:00,304395338.204027,304395338.204027,31870797.2798663,93124323.8539151,177667514.306075 
 03/17  13:00:00,290468060.611327,290468060.611327,27545381.8051997,93124323.8539151,179858086.836092 
 03/17  14:00:00,277074874.243445,277074874.243445,24252527.4524103,93124323.8539151,167093070.352576 
 03/17  15:00:00,277838814.891785,277838814.891785,15760886.2459015,93124323.8539151,167093070.352576 
 03/17  16:00:00,289475179.940495,289475179.940495,25528140.832041,93124323.8539151,177537174.74818 
 03/17  17:00:00,245056376.326351,245056376.326351,19340011.683901,51816298.0908724,140923939.573165 
 03/17  18:00:00,124676600.694492,124676600.694492,24602339.4015768,32593450.3509539,69106004.4057846 
 03/17  19:00:00,135011183.773169,135011183.773169,35327327.6921391,38905498.3832613,59822356.0541363 
 03/17  20:00:00,139237270.328639,139237270.328639,47096004.8497733,26303943.8957325,59822356.0541363 
 03/17  21:00:00,143019638.613338,143019638.613338,42944225.9645621,26303943.8957325,55180531.8783121 
 03/17  22:00:00,80271371.636263,80271371.636263,6791184.,13151971.9478662,55180531.8783121 
 03/17  23:00:00,73691760.4017255,73691760.4017255,6791184.,6575985.97393312,55180531.8783121 
 03/17  24:00:00,58551584.4007083,58551584.4007083,6791184.,4802369.72793237,44533202.0018108 
 03/18  01:00:00,46359235.7095559,46359235.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/18  02:00:00,46359235.7095559,46359235.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/18  03:00:00,46359235.7095559,46359235.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/18  04:00:00,46359235.7095559,46359235.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/18  05:00:00,46359235.7095559,46359235.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/18  06:00:00,139200932.898611,139200932.898611,6791184.,10829279.4087343,55180531.8783121 
 03/18  07:00:00,207391474.499311,207391474.499311,97380958.861045,12553306.1841185,73747828.5816088 
 03/18  08:00:00,207860380.17783,207860380.17783,94476041.7502296,31757531.760878,85222049.4632748 
 03/18  09:00:00,203495848.603534,203495848.603534,99713075.4037737,31077692.0840149,93345241.7709671 
 03/18  10:00:00,193305710.262873,193305710.262873,113124608.617428,31041441.2846384,89863873.6390989 
 03/18  11:00:00,188716750.849145,188716750.849145,108913714.270244,31041441.2846384,97987065.9467912 
 03/18  12:00:00,150039888.63893,150039888.63893,97675322.204971,15520720.6423192,72652542.3166 
 03/18  13:00:00,131862040.638436,131862040.638436,91562185.9272291,15520720.6423192,63368893.9649517 
 03/18  14:00:00,112444589.215263,112444589.215263,82804734.6306423,15520720.6423192,57566613.7451715 
 03/18  15:00:00,100861340.645449,100861340.645449,77530980.4649495,15520720.6423192,52924789.5693473 
 03/18  16:00:00,106056682.164625,106056682.164625,78313737.9668208,15520720.6423192,54085245.6133033 
 03/18  17:00:00,66530427.5450781,66530427.5450781,81170373.4430141,5173573.54743972,48348135.1724704 
 03/18  18:00:00,47492429.5849123,47492429.5849123,6791184.,5394528.86124945,41385398.9087341 
 03/18  19:00:00,46980596.7411653,46980596.7411653,6791184.,4695987.3552073,33399901.5013581 
 03/18  20:00:00,48904615.7095559,48904615.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/18  21:00:00,48904615.7095559,48904615.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/18  22:00:00,48904615.7095559,48904615.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/18  23:00:00,48904615.7095559,48904615.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/18  24:00:00,46359235.7095559,46359235.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/19  01:00:00,46359235.7095559,46359235.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/19  02:00:00,46359235.7095559,46359235.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/19  03:00:00,46359235.7095559,46359235.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/19  04:00:00,46359235.7095559,46359235.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/19  05:00:00,46359235.7095559,46359235.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/19  06:00:00,66846578.2178736,66846578.2178736,6791184.,5897289.92828448,41385398.9087341 
 03/19  07:00:00,53121523.4390288,53121523.4390288,6791184.,6310377.45181382,41385398.9087341 
 03/19  08:00:00,47437965.9461669,47437965.9461669,6791184.,5340000.5437792,41385398.9087341 
 03/19  09:00:00,47386953.1707905,47386953.1707905,6791184.,5289037.8729006,41385398.9087341 
 03/19  10:00:00,47289057.692465,47289057.692465,6791184.,5191173.36713652,41385398.9087341 
 03/19  11:00:00,47271447.3704193,47271447.3704193,6791184.,5173573.54743972,41385398.9087341 
 03/19  12:00:00,47271447.3704193,47271447.3704193,6791184.,5173573.54743972,41385398.9087341 
 03/19  13:00:00,47271447.3704193,47271447.3704193,6791184.,5173573.54743972,41385398.9087341 
 03/19  14:00:00,47271447.3704193,47271447.3704193,6791184.,5173573.54743972,41385398.9087341 
 03/19  15:00:00,47271447.3704193,47271447.3704193,6791184.,5173573.54743972,41385398.9087341 
 03/19  16:00:00,47277489.5666549,47277489.5666549,6791184.,5179615.74367536,41385398.9087341 
 03/19  17:00:00,47364139.6730652,47364139.6730652,6791184.,5266244.47520909,41385398.9087341 
 03/19  18:00:00,38437235.0449997,38437235.0449997,6791184.,4430108.63067511,33399901.5013581 
 03/19  19:00:00,46145485.7095559,46145485.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/19  20:00:00,48904615.7095559,48904615.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/19  21:00:00,48904615.7095559,48904615.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/19  22:00:00,48904615.7095559,48904615.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/19  23:00:00,48904615.7095559,48904615.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/19  24:00:00,46359235.7095559,46359235.7095559,6791184.,3861201.79133858,33399901.5013581 
 03/20  01:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/20  02:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/20  03:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/20  04:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/20  05:00:00,143276935.228385,143276935.228385,6884992.31074171,3861201.79133858,44533202.0018108 
 03/20  06:00:00,352756059.805034,352756059.805034,6791184.,10829279.4087343,55180531.8783121 
 03/20  07:00:00,468244703.503083,468244703.503083,179550556.424062,37192152.5144192,95796493.4167736 
 03/20  08:00:00,480352483.061326,480352483.061326,178479104.532182,94729323.7242992,204227663.759169 
 03/20  09:00:00,398341873.172107,398341873.172107,169344663.523639,93124323.8539151,174055806.616312 
 03/20  10:00:00,357625384.4874,357625384.4874,160310966.782903,93124323.8539151,167093070.352576 
 03/20  11:00:00,340773636.798481,340773636.798481,174353601.175894,93124323.8539151,174055806.616312 
 03/20  12:00:00,371182336.538639,371182336.538639,172665491.30437,93124323.8539151,177667514.306075 
 03/20  13:00:00,331981218.211713,331981218.211713,157736111.096516,93124323.8539151,179858086.836092 
 03/20  14:00:00,309152792.926239,309152792.926239,147218387.56725,93124323.8539151,167093070.352576 
 03/20  15:00:00,304237133.322723,304237133.322723,129011749.832556,93124323.8539151,167093070.352576 
 03/20  16:00:00,315635340.173511,315635340.173511,126502774.511229,93124323.8539151,177537174.74818 
 03/20  17:00:00,299715309.832626,299715309.832626,109951352.911258,51888393.0207833,140923939.573165 
 03/20  18:00:00,217157700.220488,217157700.220488,105360999.591159,33147183.3558465,69106004.4057846 
 03/20  19:00:00,224221485.387089,224221485.387089,103767295.859743,39041406.3981283,59822356.0541363 
 03/20  20:00:00,227706189.10812,227706189.10812,106866154.171842,26303943.8957325,59822356.0541363 
 03/20  21:00:00,232467023.661671,232467023.661671,110526018.99126,26303943.8957325,55180531.8783121 
 03/20  22:00:00,80271371.636263,80271371.636263,6791184.,13151971.9478662,55180531.8783121 
 03/20  23:00:00,73691760.4017255,73691760.4017255,6791184.,6575985.97393312,55180531.8783121 
 03/20  24:00:00,58551584.4007083,58551584.4007083,6791184.,4802369.72793237,44533202.0018108 
 03/21  01:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/21  02:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/21  03:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/21  04:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/21  05:00:00,86934670.295426,86934670.295426,6791184.,3861201.79133858,44533202.0018108 
 03/21  06:00:00,291362960.042823,291362960.042823,6791184.,10829279.4087343,55180531.8783121 
 03/21  07:00:00,404077367.72225,404077367.72225,159602863.284013,36581144.1361909,95796493.4167736 
 03/21  08:00:00,402177479.318254,402177479.318254,136246955.959353,94358448.6842721,204227663.759169 
 03/21  09:00:00,321369378.25828,321369378.25828,112889194.810902,93124323.8539151,174055806.616312 
 03/21  10:00:00,295720055.260446,295720055.260446,100711329.607696,93124323.8539151,167093070.352576 
 03/21  11:00:00,296909460.298325,296909460.298325,93183492.6563386,93124323.8539151,174055806.616312 
 03/21  12:00:00,327561047.046019,327561047.046019,79232845.6942312,93124323.8539151,177667514.306075 
 03/21  13:00:00,298088322.490129,298088322.490129,60478570.7217395,93124323.8539151,179858086.836092 
 03/21  14:00:00,279634017.749499,279634017.749499,39445055.1781949,93124323.8539151,167093070.352576 
 03/21  15:00:00,279050996.331303,279050996.331303,34212874.8987502,93124323.8539151,167093070.352576 
 03/21  16:00:00,289863134.860389,289863134.860389,43802537.5332367,93124323.8539151,177537174.74818 
 03/21  17:00:00,246774134.424923,246774134.424923,46491452.8434909,51891598.3017736,140923939.573165 
 03/21  18:00:00,136931462.989203,136931462.989203,65514552.0745738,32388184.5090949,69106004.4057846 
 03/21  19:00:00,149213440.952617,149213440.952617,83433704.3088717,38769590.3683942,59822356.0541363 
 03/21  20:00:00,156686130.946403,156686130.946403,94507205.211102,26303943.8957325,59822356.0541363 
 03/21  21:00:00,165806149.562598,165806149.562598,93446636.363675,26303943.8957325,55180531.8783121 
 03/21  22:00:00,80271371.636263,80271371.636263,6791184.,13151971.9478662,55180531.8783121 
 03/21  23:00:00,73691760.4017255,73691760.4017255,6791184.,6575985.97393312,55180531.8783121 
 03/21  24:00:00,58551584.4007083,58551584.4007083,6791184.,4802369.72793237,44533202.0018108 
 03/22  01:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/22  02:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/22  03:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/22  04:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/22  05:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/22  06:00:00,141687134.543058,141687134.543058,6791184.,10829279.4087343,55180531.8783121 
 03/22  07:00:00,290162845.25015,290162845.25015,30561130.7513979,36659298.7045386,95796493.4167736 
 03/22  08:00:00,339487484.619906,339487484.619906,19299930.7256227,93513622.2072105,204227663.759169 
 03/22  09:00:00,290197002.664211,290197002.664211,7181336.39627974,93124323.8539151,174055806.616312 
 03/22  10:00:00,278760189.597329,278760189.597329,14780633.3065135,93124323.8539151,167093070.352576 
 03/22  11:00:00,284766997.271542,284766997.271542,25020873.9107891,93124323.8539151,174055806.616312 
 03/22  12:00:00,298639450.993741,298639450.993741,28900520.4524643,93124323.8539151,177667514.306075 
 03/22  13:00:00,311623351.500665,311623351.500665,31659772.1311426,93124323.8539151,179858086.836092 
 03/22  14:00:00,298366404.671927,298366404.671927,20561233.3506103,93124323.8539151,167093070.352576 
 03/22  15:00:00,289603823.192338,289603823.192338,20244111.8330268,93124323.8539151,167093070.352576 
 03/22  16:00:00,290676696.758019,290676696.758019,25505228.6284162,93124323.8539151,177537174.74818 
 03/22  17:00:00,227158639.43908,227158639.43908,15526115.0352552,52139696.7131796,140923939.573165 
 03/22  18:00:00,122269454.80911,122269454.80911,11052699.2480813,33340355.8897255,69106004.4057846 
 03/22  19:00:00,135200174.828667,135200174.828667,10953001.9000999,39356258.6281082,59822356.0541363 
 03/22  20:00:00,137611389.009324,137611389.009324,10978283.0562265,26303943.8957325,59822356.0541363 
 03/22  21:00:00,140174008.459904,140174008.459904,6791184.,26303943.8957325,55180531.8783121 
 03/22  22:00:00,80271371.636263,80271371.636263,6791184.,13151971.9478662,55180531.8783121 
 03/22  23:00:00,73691760.4017255,73691760.4017255,6791184.,6575985.97393312,55180531.8783121 
 03/22  24:00:00,58551584.4007083,58551584.4007083,6791184.,4802369.72793237,44533202.0018108 
 03/23  01:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/23  02:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/23  03:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/23  04:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/23  05:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/23  06:00:00,141410352.915389,141410352.915389,6791184.,10829279.4087343,55180531.8783121 
 03/23  07:00:00,288170426.733165,288170426.733165,78199285.863427,37626699.4805254,95796493.4167736 
 03/23  08:00:00,376557489.287043,376557489.287043,97839713.8855674,95387124.3206581,204227663.759169 
 03/23  09:00:00,324082779.955212,324082779.955212,126550100.03464,93124323.8539151,174055806.616312 
 03/23  10:00:00,302251845.382248,302251845.382248,126649340.457449,93124323.8539151,167093070.352576 
 03/23  11:00:00,295500975.39528,295500975.39528,130558242.329768,93124323.8539151,174055806.616312 
 03/23  12:00:00,333055243.716862,333055243.716862,109839367.624996,93124323.8539151,177667514.306075 
 03/23  13:00:00,293475381.983229,293475381.983229,103762061.521662,93124323.8539151,179858086.836092 
 03/23  14:00:00,278461440.888214,278461440.888214,105300006.80521,93124323.8539151,167093070.352576 
 03/23  15:00:00,277273948.455002,277273948.455003,107715068.903294,93124323.8539151,167093070.352576 
 03/23  16:00:00,288810922.037311,288810922.037311,102561751.829197,93124323.8539151,177537174.74818 
 03/23  17:00:00,256018820.780417,256018820.780417,115012919.133775,51796157.4367536,140923939.573165 
 03/23  18:00:00,160227128.741815,160227128.741815,122879928.638877,32813221.5968944,69106004.4057846 
 03/23  19:00:00,178892188.75959,178892188.75959,132062684.10269,38905498.3832613,59822356.0541363 
 03/23  20:00:00,186342815.025591,186342815.025591,139029169.354537,26303943.8957325,59822356.0541363 
 03/23  21:00:00,190475895.760396,190475895.760396,148751381.387007,26303943.8957325,55180531.8783121 
 03/23  22:00:00,80271371.636263,80271371.636263,6791184.,13151971.9478662,55180531.8783121 
 03/23  23:00:00,73691760.4017255,73691760.4017255,6791184.,6575985.97393312,55180531.8783121 
 03/23  24:00:00,58551584.4007083,58551584.4007083,6791184.,4802369.72793237,44533202.0018108 
 03/24  01:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/24  02:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/24  03:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/24  04:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
 03/24  05:00:00,57609860.1137362,57609860.1137362,6791184.,3861201.79133858,44533202.0018108 
