Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/10  01:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/10  02:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/10  03:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/10  04:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/10  05:00:00,55487075.11373618,55487075.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/10  06:00:00,79445779.15636318,79445779.15636315,6791184.0,9000433.148298813,55180531.87831212 
 07/10  07:00:00,175877896.633679,175877896.63367904,6791184.0,31134956.603026935,95796493.41677365 
 07/10  08:00:00,410182037.89313796,410182037.89313796,6791184.0,93124323.85391507,204227663.7591693 
 07/10  09:00:00,400904025.41678336,400904025.41678336,6791184.0,93124323.85391507,174055806.61631219 
 07/10  10:00:00,409874678.1254013,409874678.1254013,6791184.0,93124323.85391507,167093070.35257594 
 07/10  11:00:00,439129053.8992166,439129053.8992166,15974886.71888582,93124323.85391507,174055806.61631219 
 07/10  12:00:00,438414411.4407065,438414411.4407065,25890433.825807446,93124323.85391507,177667514.30607478 
 07/10  13:00:00,450932268.66868349,450932268.6686834,25679609.93468602,93124323.85391507,179858086.8360924 
 07/10  14:00:00,443353445.2985961,443353445.2985961,15577402.66161845,93124323.85391507,167093070.35257594 
 07/10  15:00:00,452797596.3724085,452797596.3724085,15521347.471794077,93124323.85391507,167093070.35257594 
 07/10  16:00:00,468585547.8640576,468585547.8640576,20404499.34468027,93124323.85391507,177537174.74818034 
 07/10  17:00:00,360197679.8288406,360197679.8288407,14659223.850196738,51735735.47439728,140923939.57316489 
 07/10  18:00:00,237790560.58950753,237790560.58950753,7453082.104336604,31041441.284638365,69106004.40578464 
 07/10  19:00:00,215023559.0616907,215023559.0616907,6791184.0,31684686.330764709,59822356.05413629 
