Date/Time,CORE_BOTTOM:Zone Mean Air Temperature [C](Hourly),TOPFLOOR_PLENUM:Zone Mean Air Temperature [C](Hourly),MIDFLOOR_PLENUM:Zone Mean Air Temperature [C](Hourly),FIRSTFLOOR_PLENUM:Zone Mean Air Temperature [C](Hourly),CORE_MID:Zone Mean Air Temperature [C](Hourly),CORE_TOP:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_4:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_4:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_4:Zone Mean Air Temperature [C](Hourly) 
 07/26  02:00:00,25.109464470524025,24.497939930238194,25.191501537240556,24.953835577199905,25.730440252845587,25.57342589594009,25.070745322595238,24.962708607604406,25.097626788993375,25.3955214578192,24.615294194278535,24.476838325928573,24.626899902780026,24.929127612938769,25.267804870348109,25.11609447851349,25.289537357886567,25.594005227820217 
 07/26  03:00:00,25.108007839730694,24.568107487308319,25.189105313708319,24.942470983439568,25.75131263991983,25.599973521564839,25.042357856885788,24.93790418317847,25.067684607290916,25.33115961977271,24.563023449414659,24.436425284889326,24.57369321980943,24.839742392317214,25.233506989130878,25.08942740033291,25.25288043539272,25.524035088924486 
 07/26  04:00:00,25.103948530989166,24.572974983627739,25.171859581835176,24.919723829348585,25.76715842527446,25.616812605490229,24.96900673017563,24.864877746501536,24.989004910972068,25.227944161343616,24.477950242118618,24.362868339539447,24.487142782117084,24.717569955848039,25.15307792287065,25.012321940113805,25.166966411021627,25.410289152196769 
 07/26  05:00:00,25.098441741322249,24.546602700831384,25.153350975730068,24.896086890399979,25.778820114392628,25.622142308818636,24.907963980922874,24.8039249221413,24.923455623369557,25.137142309542523,24.41202166538809,24.30522101449182,24.419492807363,24.618294802067156,25.081176492803377,24.950178977599938,25.091453067940184,25.3160780293695 
 07/26  06:00:00,23.3872190846201,24.254339226973295,24.76900747556555,24.402332530996746,24.06362494558507,23.89293098924912,23.646330519588774,22.67769221669696,23.06774383668794,22.685722372064725,23.23993497280805,22.351617097628237,22.682930045211326,22.39985821368655,23.89814649234701,22.74825674210836,23.276600989383089,22.871084446048227 
 07/26  07:00:00,23.759763446035174,23.918375094868745,24.44993897136179,24.15325364252804,23.701735421904794,23.523453524583986,23.592522186876665,23.24721000369292,22.761427683261596,22.28017494191357,23.239206392796974,23.01284835891898,21.993983101239786,22.062860275072475,23.8978580825955,23.35710815094977,23.0129501971272,22.51816760153245 
 07/26  08:00:00,23.999142432481248,24.125894225317979,24.50042395197618,24.320830303173908,23.988032970278917,23.966931455638357,23.956081513766173,23.33386391712594,23.27716219937701,22.706629102913458,23.779001673161063,23.15167454238081,22.94814059640429,22.579213181033557,23.998944582537253,23.43375236331729,23.532611151274965,22.947781301226159 
 07/26  09:00:00,23.99940743270939,24.50749566308836,24.59661090483702,24.46914370519301,23.999407747933309,23.999413082738906,23.999068297647005,23.67141911534045,23.795217806836246,23.14260175777978,23.99887688955819,23.520862627591403,23.671223425701919,23.061045964331567,23.9990715236526,23.72739156574122,23.954392256931727,23.360600519099209 
 07/26  10:00:00,23.998942198206224,24.9700512040265,24.67225541077018,24.579613929052479,23.999147921996824,23.99927003153895,23.998972363268036,23.997622039020798,23.998524350898938,23.5907204430251,23.998661422683253,23.993512102775484,23.995493697502235,23.49952321186025,23.998845210506354,23.99770229373476,23.99876900438356,23.754493096624409 
 07/26  11:00:00,23.99886288838426,25.419778847968087,24.719620331521285,24.632959619732227,23.998882889669795,23.99874649681197,23.998415683853879,23.99825725391501,23.998289639645589,23.92769909332258,23.9986653916706,23.998642813068164,23.99729091530424,23.796072184485117,23.99861698389865,23.998526132146269,23.998515499202435,23.982976321240935 
