Date/Time,CORE_BOTTOM:Zone Mean Air Temperature [C](Hourly),TOPFLOOR_PLENUM:Zone Mean Air Temperature [C](Hourly),MIDFLOOR_PLENUM:Zone Mean Air Temperature [C](Hourly),FIRSTFLOOR_PLENUM:Zone Mean Air Temperature [C](Hourly),CORE_MID:Zone Mean Air Temperature [C](Hourly),CORE_TOP:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_4:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_4:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_4:Zone Mean Air Temperature [C](Hourly) 
 10/24  24:00:00,23.1583110302193,19.0289977783463,21.9532878828146,22.2004601420729,23.4822112783608,22.2651846691161,19.5175556072812,19.3772486346905,19.8668099819043,19.5169563481236,20.1574398672507,20.0183246744074,20.3032877129178,20.1478793037252,20.4607443018829,20.2785406853474,20.7879882396702,20.4153130663837 
 10/25  01:00:00,23.0581242791681,18.7716233400804,21.8657349587857,22.1180586632281,23.393443994912,22.070002288263,19.3252671152982,19.1883561297331,19.6408765004733,19.304370840881,20.0507302236127,19.9154386795123,20.175664470195,20.0218668038237,20.3523833483189,20.1761757812476,20.6473378183199,20.290148052076 
 10/25  02:00:00,22.985167599293,18.6117213447897,21.8157044588868,22.0689072196203,23.3273583948819,21.9269685321063,19.2310147894949,19.0918086082277,19.5157004473592,19.1962183312929,20.0092613833013,19.8716244912909,20.1136980901785,19.9642845860802,20.3187675217474,20.1421647044766,20.5830142951669,20.2438329482169 
 10/25  03:00:00,22.9237067428914,18.5472538590927,21.8087913955315,22.0562277765415,23.2690771910335,21.8111573952643,19.2269742981319,19.0865250208449,19.4850048996396,19.1822777122243,20.0246288274053,19.886092848707,20.1127131787228,19.9685950026345,20.3551263046543,20.179809438085,20.5928904006075,20.2720432799001 
 10/25  04:00:00,22.869969476431,18.4974417795846,21.7823803645349,22.0288648988787,23.215857845154,21.714885223741,19.1804441878629,19.0260902452759,19.4117193723386,19.1240435056898,20.0032912404348,19.8527229141467,20.0757687920584,19.936314682517,20.3443920937747,20.1568771426871,20.5565487424482,20.2522946154086 
 10/25  05:00:00,22.8418043318915,18.4125906950735,21.690477267503,21.9540589043144,23.184390468213,21.6473363766894,19.0684473546533,18.9143860801186,19.273515026493,19.0004872068206,19.9549743604207,19.8045578991777,20.0122811656914,19.8765410656856,20.2751027788634,20.088968422569,20.4616622895643,20.172409165053 
 10/25  06:00:00,21.7126209874427,19.0078120908339,21.5359586161784,21.6590494989052,22.1811912801622,20.9157842310753,19.7511537887783,19.644713625663,19.7523769546329,19.6550070005534,19.9435418592064,19.8276518768761,19.7876165714642,19.8413007389944,20.0313651845935,19.8837122702909,20.0176122249568,19.9016570374938 
 10/25  07:00:00,22.3256847646023,19.5082638895021,21.5327024765618,21.7005400548252,21.8795155967429,21.0082355204911,21.0011158275219,20.9956235682049,20.9968179468569,20.995465957145,21.0119140171674,20.9959469538559,19.4305344231144,20.9960454657575,21.0140864192246,20.9955726233216,21.0072495245726,20.995692125776 
 10/25  08:00:00,23.919715969706,20.016172715768,21.7154799137977,22.3315409612576,22.6723489604919,21.7442791582032,21.0001797886766,21.0561767032699,21.0001179600121,21.0003686652923,21.0274927287977,21.2940185346119,20.9864570759668,21.0002604285195,21.0747579956282,21.2925793364996,21.1602605954599,21.0002138319608 
 10/25  09:00:00,24.0012832554152,20.8572040314936,22.1133323150366,22.7062164847296,23.1868298719972,22.3156708088435,21.0000393875757,22.1128424163661,21.5964006126508,21.0002716265493,21.4606939735285,22.8305811759151,21.4322744945875,21.000113562377,21.511239985227,22.7203730810816,22.313971888881,21.0000874599847 
 10/25  10:00:00,24.0022058092518,21.7170730471882,22.3790709205503,22.8718958665882,23.3529055494442,22.6253256014613,21.2227894378103,22.4954639944058,22.660909041836,21.0002902177493,21.9372796051008,23.1731577452776,22.475300151613,21.0150343864931,21.9502103472936,23.0561575773213,23.3614264226122,21.0087236822532 
 10/25  11:00:00,24.0031024594068,22.3544427981068,22.5628108589156,23.0391980830641,23.4372742979475,22.8220399729808,21.5788188819095,22.2926114607908,23.5197492429059,21.0001916278163,22.2358318331915,22.8747704066575,23.339379859062,21.1602588864404,22.2360684152835,22.7755304473448,23.9635255767897,21.1404760895399 
 10/25  12:00:00,24.0026094877002,22.7769016360341,22.6558164802939,23.0801922930338,23.2005203015777,22.6586486249953,21.6553666322255,21.7615343230394,23.9954111151122,21.0001761563288,22.2142077164848,22.2310590768413,21.5450269493711,21.1309628935806,22.2395022002278,22.1608843481156,24.0026593953793,21.1126480031636 
 10/25  13:00:00,24.0019651543064,23.1520399998099,22.7753635501937,23.2249647041712,23.3730718829141,22.9318324376429,22.0740923756269,21.7094564403144,24.0020477278131,21.255375666675,22.5662391222343,22.0714990987361,23.7677175102983,21.5750134583524,22.5817508606086,22.0222198364866,24.0019624949738,21.541256403601 
 10/25  14:00:00,24.0030762104953,23.4948235447873,22.9421339055892,23.3752766262218,23.4811043304672,23.1296185525043,22.3669608627873,21.7462243690836,24.0030279549122,21.9991642855168,22.7931734737968,22.0305569680786,24.0023200334513,22.3673440284417,22.8099665838246,21.9889565128505,24.0029248420301,22.2972169094879 
 10/25  15:00:00,24.0023867638091,23.7297587253856,23.0859573716237,23.4967632146325,23.4955306804786,23.2031326245061,22.5138156275622,21.724074542853,24.0017264496554,22.886999098184,22.8629130026874,21.9403834544126,24.0013880432373,23.2691586777434,22.9088760805735,21.9131841294473,24.0016212680969,23.1725356007268 
 10/25  16:00:00,24.0026943769938,23.7388630842024,23.1442621432939,23.5619725286864,23.5493207008757,23.2935703768261,22.5548660024518,21.6446609922742,23.8274285635384,22.698610197073,22.8517961220236,21.8085898460387,23.7174535133991,23.0308944821332,22.921025319015,21.8012098166804,23.9387545944346,22.9601119942107 
 10/25  17:00:00,24.001210526369,23.2294311600033,22.9540020026306,23.3869403918421,22.9861693359443,22.7119606160903,21.9613472045852,21.1007701263325,22.7035899214454,21.4911813923287,22.2066066699361,21.1982479421631,21.407722339898,21.7597940800102,22.3289734815887,21.2280572276577,22.9593939886324,21.751747091202 
 10/25  18:00:00,22.9384392828459,22.486581058161,22.6281731516387,22.9773620759248,22.4833973019491,22.1444920280573,21.4176068017295,21.0001351487871,21.8927541446503,21.0025473805524,21.659322407212,21.0002036758397,21.4332913867187,21.0462591601271,21.8294023021549,21.0004602632017,22.2068898461043,21.0584344612073 
 10/25  19:00:00,22.177968088802,21.9589688691799,22.4359843109358,22.6199226951206,22.2780501002347,21.8693328444988,21.1323617958014,20.9996657120681,21.4612226245824,20.9996753795902,21.3581513596615,20.9997396833621,21.4083633529715,20.9997888225636,21.5998342722717,20.9997857417132,21.8331431193692,20.9998399511806 
 10/25  20:00:00,21.9791463071184,21.6695639039671,22.3458234110536,22.4554701096091,22.2095882773613,21.7541146108764,21.0056885500506,20.9989621669395,21.1840446580672,20.9989688704965,21.156974752918,20.9990980255405,21.1957569131214,20.9991810689656,21.4528527455862,20.9993235221693,21.5990036603322,20.9994045643076 
 10/25  21:00:00,21.7842483508868,21.4489604596122,22.259139860563,22.3254452042808,22.1787448263935,21.6888075511404,20.9996424012407,20.9989340159866,21.0075857771998,20.9989333883196,21.0114306368898,20.999027282354,21.0190196491262,20.9990805882348,21.3116825765341,20.9992827367883,21.3949152698874,20.9993350327762 
 10/25  22:00:00,22.7221359608821,21.1582177061223,22.2958710604484,22.4743427738597,23.0625731408201,22.5037628569191,21.1346654006964,21.1410675596665,21.5189980488167,21.1564436576121,21.3334277373947,21.3202823173696,21.5590325778528,21.3368562400921,21.628969920995,21.4866063545912,22.0053536521456,21.4986130077593 
