Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 08/08  21:00:00,179598984.855511,179598984.855511,4597200.,27302827.8427063,55180531.8783121 
 08/08  22:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 08/08  23:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 08/08  24:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
 08/09  01:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/09  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/09  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/09  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/09  05:00:00,80258429.8383602,80258429.8383602,4597200.,15830927.3450227,44533202.0018108 
 08/09  06:00:00,136189133.680964,136189133.680964,4597200.,13041661.5064952,55180531.8783121 
 08/09  07:00:00,230319342.675355,230319342.675355,4597200.,33279505.57262,95796493.4167736 
 08/09  08:00:00,394233026.308632,394233026.308632,4597200.,96924082.4721828,204227663.759169 
 08/09  09:00:00,370008771.023505,370008771.023505,4597200.,96660690.5880898,174055806.616312 
 08/09  10:00:00,367581941.236531,367581941.236531,4597200.,96660690.5880898,167093070.352576 
 08/09  11:00:00,386239431.761814,386239431.761814,17576866.1152441,96660690.5880898,174055806.616312 
 08/09  12:00:00,401583727.7997,401583727.7997,17947638.5799609,96660690.5880898,177667514.306075 
 08/09  13:00:00,407772561.723076,407772561.723076,14977140.1765594,96660690.5880898,179858086.836092 
 08/09  14:00:00,404079094.476515,404079094.476515,11628884.7282602,96660690.5880898,167093070.352576 
 08/09  15:00:00,423994136.705335,423994136.705335,13005336.3709637,96660690.5880898,167093070.352576 
 08/09  16:00:00,421351954.553469,421351954.553469,13211946.9023994,96660690.5880898,177537174.74818 
 08/09  17:00:00,303551055.223884,303551055.223884,8746802.91435865,53825816.5945689,140923939.573165 
 08/09  18:00:00,192712533.641827,192712533.641827,8691867.85460009,33566622.2744225,69106004.4057846 
 08/09  19:00:00,178225715.097589,178225715.097589,4597200.,36769373.9369745,59822356.0541363 
 08/09  20:00:00,190446490.505475,190446490.505475,4597200.,27302827.8427063,59822356.0541363 
 08/09  21:00:00,178959801.78873,178959801.78873,4597200.,27302827.8427063,55180531.8783121 
 08/09  22:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 08/09  23:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 08/09  24:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
 08/10  01:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/10  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/10  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/10  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/10  05:00:00,80258429.8383602,80258429.8383602,4597200.,15830927.3450227,44533202.0018108 
 08/10  06:00:00,132495649.44492,132495649.44492,4597200.,13156660.6350293,55180531.8783121 
 08/10  07:00:00,234092244.034376,234092244.034377,4597200.,33509222.4269187,95796493.4167736 
 08/10  08:00:00,384490027.410999,384490027.410999,4597200.,96983521.593186,204227663.759169 
 08/10  09:00:00,357687323.125143,357687323.125143,4597200.,96660690.5880898,174055806.616312 
 08/10  10:00:00,356124749.972799,356124749.972799,4597200.,96660690.5880898,167093070.352576 
 08/10  11:00:00,371971224.893305,371971224.893305,17582495.9605835,96660690.5880898,174055806.616312 
 08/10  12:00:00,377332931.414146,377332931.414146,17949867.3689339,96660690.5880898,177667514.306075 
 08/10  13:00:00,388872509.587213,388872509.587213,17447397.6237346,96660690.5880898,179858086.836092 
